SEQ,5908500,2528200,2011200,789400,524300,529200,552700,837000,788500,697900,1015800,639500,252600,186600,276000,295600,268000,287200,252200,285900,280500,276900,234700,195400,270200,274200,281100,234400,287900,213400,187700,205000,234500,283900,291800
ARTICLE1,7685400,3865100,3512800,1266900,1962700,1775500,1179200,1653800,1121400,1583100,1704000,1267800,1526000,1241000,1843200,1423800,1466500,1401400,1388100,1333400,1672700,1487800,1380800,1186700,640400,872100,743200,685100,639700,919500,649700,914800,803800,709300,683500
TEXT1,8445800,5357700,5360700,5574100,2009000,1403700,1275300,1315200,1736100,1322100,1329600,1523200,1462600,1380100,1449700,1393200,1441300,1420300,1433700,1439600,1470700,1550500,1670900,2136400,1977000,2061200,1969600,1379900,1495400,1567500,1454700,1954800,1351300,1336200,1487900
ARTICLE4,941700,1128900,1241300,828700,1168700,1227000,1004900,1123500,1149000,1047800,1068000,949300,854800,690000,1088800,882100,913300,776600,994600,940100,1052700,1109200,1154900,1033200,1110300,844000,974100,1048000,890000,942300,938700,1228700,835100,919800,957500
TEXT4,6461700,10574800,10877100,1057600,1101800,1187700,3008400,2231400,1586200,2046000,1053000,1230600,1193600,1048600,1105700,848100,892400,877200,811300,882500,962400,968700,1058600,953900,988000,1120200,1111600,1033900,1212900,1053800,1013800,1157600,1214900,979900,1064400
TEXT_2500_4,984100,762400,675800,673300,768600,750100,801400,789500,748300,684000,662500,813500,874200,782200,742700,833600,778200,931600,1078400,827300,1068700,791900,750700,793200,710800,668700,624300,770100,768100,721600,702200,690500,598400,870500,775900
ARTICLE_750_4,628500,599600,677500,754800,590900,684300,639800,823700,682800,634700,650200,600500,656300,584400,625600,730400,646800,559900,570800,619200,673800,769400,880600,689800,758500,739600,700300,692300,687700,622200,753500,707100,625400,656800,571400
ARTICLE8,1039800,870800,650800,906200,956100,781100,1144500,1035100,1073100,1037600,1161900,1121100,954400,1213500,970000,918400,1133000,922900,910900,851300,901800,904500,844600,899500,816900,717700,1114900,898900,1123800,906600,1300900,1093800,1182800,1066700,1127000
TEXT8,1144700,1013600,1102700,1245700,1263100,1165000,1174700,1283500,1217100,1278600,1385700,1297100,1332500,1447500,1281000,1376400,1494900,1370100,1202400,1200300,1196400,1186000,1225100,1264300,1299800,1304300,1245200,1360900,1499700,1476600,1225600,1249500,1137400,1138200,1226700
TEXT_2500_8,911600,1039500,1035200,1122800,1021900,1009900,1170200,1164800,1203500,1277500,1068000,1392000,1172000,1197500,1292700,1089500,910900,942600,1148000,1081300,865400,1000200,1206000,1109300,1209900,1148800,1047400,1041300,1238200,1236300,1088100,919500,1084300,1069800,1015000
ARTICLE_750_8,630400,613100,581900,626400,696500,679100,616400,660200,888500,706000,946500,673600,661200,632100,631500,581200,677200,606700,594400,619100,591600,706900,682900,649300,705100,685100,906200,726400,723800,667000,834500,672900,722300,656500,612000
ARTICLE12,958800,989000,1062200,1027700,978700,1199700,1004800,995700,1081700,1078300,1069200,937400,925800,1002200,1090400,1210700,1005800,884600,887300,1328500,873200,1009100,974400,932700,869400,970400,869700,922500,980600,969200,971400,961100,1224100,1162800,1387400
TEXT12,1893000,1805600,1831400,1667700,1774000,1620800,1923800,1522000,1680900,1448700,1391400,1459000,1492400,1712800,1460600,1688400,1587800,5499400,4823400,3586700,3114500,1486400,1456800,1476200,1572400,1553900,1509400,1720200,1400400,1588700,1820500,1717000,1967800,1401100,1706900
TEXT_500_12,1564200,1429400,1388200,1361300,1504800,1521300,1734300,1513800,1463000,1642200,1350200,1393600,1281000,1354300,1299100,1384100,1291500,1553700,1678900,1738600,1663800,1550700,1380900,1366900,1425400,1467300,1397800,1535200,1452300,1854900,1876800,1603800,1438600,1497600,1730500
TEXT_750_12,1467800,1429200,1660300,1625900,1413100,1482500,1412600,1611300,1582800,1478000,1508600,1501900,1436300,1472200,1413900,1446100,1511900,1485400,1503000,1602900,1602300,1960200,1539200,1713600,1497100,1348700,1378500,1415300,1478000,1455700,1704700,1702400,1503300,1651400,1613300
TEXT_1000_12,1505300,1554800,1524700,1419300,1501400,1523100,1726600,1469700,1634300,1469900,2385500,1648500,1744000,1496000,1654500,1585800,1588800,1550000,1742500,1621800,1677500,1638100,1659000,1378400,1515900,1712500,1909000,1761300,1692200,1745500,1488600,1644500,1535400,1632200,1364500
TEXT_2500_12,1157300,1430900,1277800,1848400,1236800,1384300,1421300,1202600,1101700,1365700,1331900,1282700,1376700,1253300,1333500,1221300,1291100,1207800,1235700,1211400,1240700,1455400,1526300,1425200,1438700,1323300,1594800,1324100,1268100,1306400,1754200,1274000,1482800,1454800,1304100
TEXT_5000_12,1299700,1267500,1174800,1236900,1286900,1164300,1351000,1275500,1301300,1338400,1208200,1225300,1229300,1255800,1262200,1221600,1278600,1170900,1205800,1136200,1234300,1103200,1156900,1083800,1164400,1281200,1397700,1251400,1263700,1248400,1207700,1237500,1047300,1476800,1182700
ARTICLE_500_12,746800,742500,691600,654400,793600,653200,644900,626100,597400,599300,684700,632600,680800,753800,700100,676500,642800,654500,638200,618200,758900,714600,784500,670700,630600,655000,680000,623600,617800,624900,665000,684600,698100,689900,667000
ARTICLE_750_12,632700,612600,621600,639100,603700,868600,718200,694400,667000,689900,660100,646200,608100,625600,597500,669400,689100,641700,662500,659700,711300,647600,632000,624600,655200,688200,678400,674600,621500,625100,613700,646700,643800,751500,668200
ARTICLE_1000_12,720000,702600,925800,642900,662600,645800,632300,653800,629900,635800,644300,714700,703300,696300,669300,684600,666200,657400,618500,632600,640100,669900,712700,622400,735800,660500,655800,632800,643200,670700,674000,723000,626500,727200,617000
ARTICLE_2500_12,643100,698400,627700,619300,709200,665700,642400,637600,670900,680200,676200,628700,621800,621700,596300,690400,663200,692900,761500,625800,667500,659600,619400,646600,607800,617200,664700,685100,635100,1098200,645500,597400,644000,603200,632100
ARTICLE_5000_12,752800,898200,998700,683100,639100,614700,625800,651800,614400,676200,699800,633400,698200,671300,643800,650600,628100,641400,635900,706500,710600,685300,697500,636500,683100,629600,632200,647000,667800,634500,653800,1180100,647200,634800,647600
